tour,market,l12m_weight,alpha,train_nll,selected
ATP,aces,0.0,0.18101849610442283,3.4762704489023464,False
ATP,aces,0.25,0.17855439745130192,3.471260228116667,False
ATP,aces,0.5,0.1768711708044241,3.4677921998248924,False
ATP,aces,0.75,0.17567510932727903,3.4652996202092847,False
ATP,aces,1.0,0.17480406187509595,3.463464848138517,False
ATP,aces,1.25,0.174160096713452,3.4620943213365187,False
ATP,aces,1.5,0.1736805348352751,3.4610627483333007,False
ATP,aces,2.0,0.17305887230297645,3.4597021609441736,False
ATP,aces,3.0,0.17258237084717246,3.458600935635068,True
ATP,dfs,0.0,0.13620936459472466,2.7956776193254007,False
ATP,dfs,0.25,0.13508797422544097,2.7936703004441896,False
ATP,dfs,0.5,0.13443048663810664,2.792502367285295,False
ATP,dfs,0.75,0.1340593679179743,2.7918561679974796,False
ATP,dfs,1.0,0.13387509552951146,2.7915520751095184,False
ATP,dfs,1.25,0.133817475153515,2.7914805770056175,True
ATP,dfs,1.5,0.13384799083983862,2.791571204584757,False
ATP,dfs,2.0,0.13407862464717013,2.7920645055410596,False
ATP,dfs,3.0,0.13487226486907242,2.7936598259649137,False
WTA,aces,0.0,0.2455960050077546,2.55589765922086,False
WTA,aces,0.25,0.24198697209032852,2.5519032548223253,False
WTA,aces,0.5,0.23944742020383925,2.5490011719783783,False
WTA,aces,0.75,0.2375972681614951,2.5468226650517156,False
WTA,aces,1.0,0.23621847544523342,2.5451510457484523,False
WTA,aces,1.25,0.23517595328770546,2.5438489565526927,False
WTA,aces,1.5,0.2343809420671501,2.542824477602029,False
WTA,aces,2.0,0.2333083391955893,2.5413699800807996,False
WTA,aces,3.0,0.23236932325742557,2.539899822225505,True
WTA,dfs,0.0,0.1412926372458556,2.6677971303753227,False
WTA,dfs,0.25,0.13877540245557055,2.663572094118296,False
WTA,dfs,0.5,0.13691891921270646,2.6604349316237315,False
WTA,dfs,0.75,0.13551008962317815,2.658049330233536,False
WTA,dfs,1.0,0.1344199962626694,2.6562070460099614,False
WTA,dfs,1.25,0.1335651414443902,2.6547706020163817,False
WTA,dfs,1.5,0.13288882656167286,2.6536449163668108,False
WTA,dfs,2.0,0.13192229219333335,2.6520711964586225,False
WTA,dfs,3.0,0.13093429876452994,2.650593430863142,True
