tour,year,date,tournament,round,surface,player,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2024,2024-01-15,Australian Open,R128,Hard,Novak Djokovic,Dino Prizmic,11,10.716,10.632,1,3.734,4.181,MED,HIGH,109.313,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dino Prizmic,Novak Djokovic,7,6.267,3.486,7,3.066,2.324,LOW,LOW,118.898,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexei Popyrin,Marc Polmans,20,14.579,14.537,3,4.280,4.244,MED,MED,121.070,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Marc Polmans,Alexei Popyrin,11,12.642,13.752,5,3.983,5.001,LOW,LOW,116.266,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Gael Monfils,Yannick Hanfmann,16,14.220,12.997,5,6.246,7.061,MED,MED,115.596,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Yannick Hanfmann,Gael Monfils,6,9.032,8.943,4,2.722,2.620,MED,MED,124.030,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Tomas Martin Etcheverry,Andy Murray,11,9.144,8.498,0,2.233,2.037,MED,MED,115.764,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Andy Murray,Tomas Martin Etcheverry,6,7.981,6.209,2,3.383,3.152,MED,MED,120.091,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Adrian Mannarino,Stan Wawrinka,13,8.861,8.076,6,2.796,2.866,MED,HIGH,114.725,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Stan Wawrinka,Adrian Mannarino,14,13.377,13.278,0,2.735,2.939,MED,MED,114.464,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jaume Munar,Alexander Shevchenko,8,8.539,7.928,3,4.827,4.648,MED,MED,120.835,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alexander Shevchenko,Jaume Munar,3,7.921,7.326,5,3.267,3.324,MED,MED,119.004,0,SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Christopher Oconnell,Cristian Garin,18,12.641,12.256,5,2.421,2.096,MED,MED,117.985,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Cristian Garin,Christopher Oconnell,13,8.313,8.073,10,4.528,5.056,MED,MED,118.154,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Ben Shelton,Roberto Bautista Agut,14,14.250,13.774,2,5.194,5.509,MED,HIGH,115.036,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Roberto Bautista Agut,Ben Shelton,1,6.163,4.807,2,2.685,2.737,MED,MED,115.694,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Taylor Fritz,Facundo Diaz Acosta,8,16.567,14.802,1,3.182,3.269,MED,HIGH,113.782,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Facundo Diaz Acosta,Taylor Fritz,4,6.691,3.467,7,5.195,6.935,LOW,LOW,119.813,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Hugo Gaston,Roberto Carballes Baena,8,6.431,4.821,3,3.600,2.893,MED,MED,126.321,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Roberto Carballes Baena,Hugo Gaston,8,5.847,5.220,3,3.635,3.692,MED,MED,116.873,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Fabian Marozsan,Marin Cilic,10,8.447,7.889,3,3.238,3.254,MED,MED,114.982,0,SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Marin Cilic,Fabian Marozsan,16,16.648,17.769,6,4.879,10.661,MED,MED,115.496,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Francisco Cerundolo,Dane Sweeny,9,5.725,5.302,3,4.608,4.846,MED,MED,118.582,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Dane Sweeny,Francisco Cerundolo,1,6.643,1.428,7,3.425,2.856,LOW,LOW,116.388,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Lorenzo Musetti,Benjamin Bonzi,7,7.489,5.819,4,3.253,3.645,MED,MED,116.116,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Benjamin Bonzi,Lorenzo Musetti,6,11.011,10.222,4,3.443,3.516,MED,MED,117.651,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Luca Van Assche,James Duckworth,11,8.719,6.854,6,3.607,3.782,MED,MED,118.727,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,James Duckworth,Luca Van Assche,21,12.587,12.543,3,2.986,2.701,MED,MED,116.743,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jordan Thompson,Aleksandar Vukic,18,13.140,12.292,3,2.262,1.874,MED,MED,116.361,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Aleksandar Vukic,Jordan Thompson,14,13.012,12.596,2,3.000,3.178,MED,MED,117.603,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Stefanos Tsitsipas,Zizou Bergs,10,12.125,11.998,6,2.727,3.072,MED,HIGH,112.103,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Zizou Bergs,Stefanos Tsitsipas,6,11.250,11.565,3,3.600,3.751,MED,MED,115.028,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jannik Sinner,Botic Van De Zandschulp,7,9.932,9.518,2,2.880,2.692,HIGH,HIGH,114.684,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Botic Van De Zandschulp,Jannik Sinner,8,10.178,9.930,2,5.062,4.839,MED,HIGH,120.081,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jesper De Jong,Pedro Cachin,11,12.029,10.334,2,4.265,4.114,LOW,LOW,120.940,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Pedro Cachin,Jesper De Jong,7,9.737,9.023,3,3.035,3.609,MED,MED,115.041,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Daniel Elahi Galan,Jason Kubler,16,9.737,10.291,2,2.462,2.916,MED,MED,120.238,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Jason Kubler,Daniel Elahi Galan,11,10.143,8.679,4,3.335,3.080,MED,MED,116.187,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Sebastian Baez,J J Wolf,6,4.524,3.770,2,2.345,2.030,MED,MED,119.411,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,J J Wolf,Sebastian Baez,13,12.190,11.983,5,4.401,4.750,MED,HIGH,115.343,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Frances Tiafoe,Borna Coric,15,13.981,13.140,8,3.282,3.317,MED,HIGH,116.392,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Borna Coric,Frances Tiafoe,12,9.689,7.520,2,3.160,3.477,MED,MED,114.009,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Tomas Machac,Shintaro Mochizuki,4,8.540,7.811,0,2.898,2.644,MED,MED,116.207,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Shintaro Mochizuki,Tomas Machac,4,6.047,4.560,4,4.126,3.840,MED,MED,120.969,0,SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Aleksandar Kovacevic,Alejandro Tabilo,23,12.433,12.461,8,3.621,3.926,MED,MED,117.951,0,SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alejandro Tabilo,Aleksandar Kovacevic,34,12.236,12.332,6,3.422,2.605,MED,MED,117.936,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Karen Khachanov,Daniel Altmaier,15,13.286,11.515,4,3.090,2.798,HIGH,HIGH,115.198,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Daniel Altmaier,Karen Khachanov,10,10.388,9.661,3,3.462,3.547,MED,MED,121.741,0,
ATP,2024,2024-01-15,Australian Open,R128,Hard,Alex De Minaur,Milos Raonic,10,6.838,5.961,1,3.733,4.058,MED,HIGH,115.826,0,NO_OPP_DATA
ATP,2024,2024-01-15,Australian Open,R128,Hard,Milos Raonic,Alex De Minaur,12,20.006,27.281,1,5.626,7.839,LOW,LOW,112.573,0,LOW_SAMPLE;SLAM_DEBUT
ATP,2024,2024-01-15,Australian Open,R128,Hard,Matteo Arnaldi,Adam Walton,16,9.021,8.470,1,4.316,4.578,MED,MED,122.873,0,NO_OPP_DATA;SLAM_DEBUT
