tour,year,date,tournament,round,surface,player1,player2,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence
ATP,2023,2023-01-16,Australian Open,R64,Hard,Adrian Mannarino,Alex De Minaur,5,20.523000000000003,17.038,8,8.178,7.32,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Adrian Mannarino,John Isner,35,30.829,44.330000000000005,6,7.236000000000001,3.9579999999999997,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Albert Ramos,Maxime Cressy,39,27.159,37.027,14,9.478,14.527000000000001,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Alejandro Davidovich Fokina,Alexander Bublik,27,24.490000000000002,21.962,19,10.286000000000001,12.075,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Alejandro Davidovich Fokina,Tommy Paul,24,21.394,17.724,5,7.433,4.333,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Aleksandar Vukic,Brandon Holt,23,22.886,23.246,5,8.542,8.038,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Alex De Minaur,Benjamin Bonzi,14,21.129,17.408,6,8.502,8.613,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R16,Hard,Alex De Minaur,Novak Djokovic,7,19.695999999999998,14.964,5,9.786999999999999,11.052,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Alex De Minaur,Yu Hsiou Hsu,11,20.360999999999997,16.473,3,9.131,9.677,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Alex Molcan,Felix Auger Aliassime,27,23.389000000000003,21.024,10,9.257,11.891,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Alex Molcan,Stan Wawrinka,23,25.593,25.609,8,8.925,10.98,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Alexander Zverev,Juan Pablo Varillas,36,21.62,15.943999999999999,5,11.205,18.063000000000002,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Alexander Zverev,Michael Mmoh,26,19.103,11.016,19,10.487,15.957,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Alexei Popyrin,Ben Shelton,26,32.696,41.789,4,10.293,14.346,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R128,Hard,Alexei Popyrin,Chun Hsin Tseng,33,29.509,27.625,11,8.927,7.840999999999999,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R64,Hard,Alexei Popyrin,Taylor Fritz,40,35.823,40.155,11,8.844,8.714,LOW,LOW
ATP,2023,2023-01-16,Australian Open,R32,Hard,Andrey Rublev,Daniel Evans,13,23.65,25.076,4,9.216000000000001,10.585,LOW,LOW
