tour,year,date,tournament,round,surface,player_id,player,opponent_id,opponent,actual_aces,projected_aces,naive_aces,actual_dfs,projected_dfs,naive_dfs,ace_confidence,df_confidence,expected_service_points,same_tournament_matches,notes
ATP,2022,2022-01-17,Australian Open,R128,Hard,200175,Miomir Kecmanovic,106099,Salvatore Caruso,4,10.576,10.113,2,3.985,3.034,LOW,LOW,122.366,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,106099,Salvatore Caruso,200175,Miomir Kecmanovic,3,11.234,11.095,5,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,126205,Tommy Paul,105062,Mikhail Kukushkin,9,9.199,8.747,5,2.994,1.913,LOW,LOW,116.719,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105062,Mikhail Kukushkin,126205,Tommy Paul,3,11.599,11.095,2,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,106214,Oscar Otte,202358,Chun Hsin Tseng,9,10.915,11.095,5,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,202358,Chun Hsin Tseng,106214,Oscar Otte,0,10.915,11.095,4,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,132283,Lorenzo Sonego,105023,Sam Querrey,10,9.759,8.808,3,3.667,2.591,LOW,LOW,122.799,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105023,Sam Querrey,132283,Lorenzo Sonego,2,10.296,11.095,2,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,104792,Gael Monfils,105948,Federico Coria,11,12.290,13.994,2,4.251,4.241,LOW,LOW,116.619,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105948,Federico Coria,104792,Gael Monfils,2,10.294,11.095,3,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,122330,Alexander Bublik,124014,Ernesto Escobedo,30,14.025,22.992,11,6.110,14.149,LOW,LOW,125.569,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,124014,Ernesto Escobedo,122330,Alexander Bublik,3,11.292,11.095,5,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,124079,Pedro Martinez,105643,Federico Delbonis,7,9.128,6.493,5,4.482,5.411,LOW,LOW,117.952,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105643,Federico Delbonis,124079,Pedro Martinez,3,9.452,7.621,4,3.971,3.266,LOW,LOW,123.575,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,106426,Cristian Garin,105487,Facundo Bagnis,10,9.345,5.384,7,4.468,4.038,LOW,LOW,132.587,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105487,Facundo Bagnis,106426,Cristian Garin,26,11.055,10.976,4,3.485,2.287,LOW,LOW,122.570,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,200624,Sebastian Korda,111815,Cameron Norrie,6,11.821,11.095,5,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,111815,Cameron Norrie,200624,Sebastian Korda,6,8.941,6.579,2,4.332,3.838,LOW,LOW,130.494,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,144895,Corentin Moutet,106298,Lucas Pouille,5,6.342,3.722,2,3.566,2.707,LOW,LOW,121.822,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,106298,Lucas Pouille,144895,Corentin Moutet,4,11.627,11.095,4,4.235,3.983,LOW,LOW,122.237,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,134868,Tallon Griekspoor,104926,Fabio Fognini,11,9.370,6.875,1,3.518,1.528,LOW,LOW,126.804,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,104926,Fabio Fognini,134868,Tallon Griekspoor,3,10.659,9.492,4,5.111,6.328,LOW,LOW,127.346,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
ATP,2022,2022-01-17,Australian Open,R128,Hard,105807,Pablo Carreno Busta,144869,Tomas Martin Etcheverry,8,9.002,8.203,2,3.851,3.454,LOW,LOW,113.982,0,LOW_SAMPLE;NO_OPP_DATA;TOURNAMENT_DEBUT
