tour,market,feature,gain,splits
ATP,aces,incumbent_aces,233002.5476899147,565
ATP,aces,player_ace_rate_blend,35378.642867565155,78
ATP,aces,player_career4y_ace_rate,20824.150097846985,127
ATP,aces,player_height,17765.68235564232,551
ATP,aces,opponent_aces_allowed_blend,14878.074798107147,501
ATP,aces,opponent_career4y_aces_allowed_rate,11761.919622659683,287
ATP,aces,player_l24m_ace_rate,11317.62481212616,137
ATP,aces,opponent_l24m_aces_allowed_rate,10316.742380142212,258
ATP,aces,venue_df_factor,7989.603057861328,471
ATP,aces,player_career4y_first_win_pct,6623.458495855331,187
ATP,aces,venue_ace_factor,6234.137635707855,443
ATP,aces,expected_match_games,6062.679915189743,191
ATP,aces,opponent_l12m_aces_allowed_rate,5088.724615573883,161
ATP,aces,level,4852.17080283165,71
ATP,aces,surface_prior_df_rate,3984.405730009079,245
ATP,aces,surface_prior_ace_rate,3809.8055534362793,276
ATP,aces,opponent_age,3400.6594252586365,245
ATP,aces,rank_log_gap,3161.107231736183,239
ATP,aces,player_ret_second_blend,2810.0141792297363,206
ATP,aces,expected_service_points,2787.1666145324707,176
ATP,aces,round,2527.886601090431,276
ATP,aces,player_l24m_first_win_pct,2451.175780057907,119
ATP,aces,player_rank,2352.464029073715,146
ATP,aces,player_l24m_first_serve_pct,2228.0523262023926,182
ATP,aces,opponent_rank,2181.8916449546814,166
ATP,aces,player_age,2088.172665834427,224
ATP,aces,opponent_l12m_svpt,1865.7639750242233,120
ATP,aces,venue_history_matches,1857.6869196891785,127
ATP,aces,player_l12m_ace_rate,1853.3413090705872,96
ATP,aces,player_l12m_first_win_pct,1774.7922353744507,159
ATP,aces,opponent_l24m_svpt,1717.5206468105316,121
ATP,aces,opponent_l12m_first_win_pct,1704.8815574645996,150
ATP,aces,opponent_ret_second_blend,1696.9560618400574,174
ATP,aces,opponent_return_factor,1551.825671672821,152
ATP,aces,opponent_svpt_per_svg_blend,1506.2058953046799,178
ATP,aces,opponent_career4y_svpt,1451.2354891300201,99
ATP,aces,player_career4y_first_serve_pct,1447.2826018333435,131
ATP,aces,opponent_l12m_svpt_per_match,1441.7689012289047,178
ATP,aces,player_career4y_svpt_per_match,1408.7069308757782,128
ATP,aces,opponent_height,1407.1811723709106,123
ATP,aces,player_svpt_per_svg_blend,1348.4582839012146,139
ATP,aces,player_l12m_first_serve_pct,1337.4734268188477,155
ATP,aces,opponent_df_rate_blend,1303.8469152450562,114
ATP,aces,opponent_ret_first_blend,1296.2617087364197,134
ATP,aces,player_ret_first_blend,1230.914343714714,134
ATP,aces,player_l12m_aces_allowed_rate,1132.7580351829529,117
ATP,aces,player_career4y_matches,1132.5510988235474,52
ATP,aces,opponent_career4y_svpt_per_match,1098.2308785915375,125
ATP,aces,player_l12m_svpt,1039.7249553203583,63
ATP,aces,player_career4y_second_win_pct,1001.5145530700684,108
ATP,aces,opponent_l24m_second_win_pct,979.1919057369232,107
ATP,aces,opponent_l12m_df_rate,974.7428076267242,121
ATP,aces,incumbent_dfs,954.3153338432312,98
ATP,aces,opponent_career4y_first_win_pct,930.9467005729675,80
ATP,aces,opponent_l24m_df_rate,921.8092525005341,89
ATP,aces,player_l24m_svpt_per_match,913.3768110275269,91
ATP,aces,opponent_career4y_df_rate,902.5378570556641,98
ATP,aces,player_career4y_aces_allowed_rate,901.2667212486267,110
