market,variant,n_train,n_eval,train_mae,train_logloss,eval_mae,eval_bias,eval_rmse,eval_logloss,eval_delta_mae_vs_current,eval_delta_ll_vs_current
aces,conf_high_current_else_75,2032,2032,2.833743,0.670483,2.945922,0.149702,4.146299,0.658676,-0.002026,0.000548
aces,blend_model_75,2032,2032,2.834513,0.670687,2.947230,0.155585,4.148987,0.658603,-0.000718,0.000476
aces,current,2032,2032,2.841150,0.672680,2.947948,0.140050,4.139949,0.658128,0.000000,0.000000
aces,conf_high_current_else_50,2032,2032,2.839553,0.670606,2.958226,0.159354,4.175753,0.661322,0.010278,0.003195
aces,blend_model_50,2032,2032,2.841871,0.671060,2.961748,0.171119,4.182582,0.661305,0.013800,0.003178
aces,prior_tour_surface_conf_bias_05,2032,2032,2.841150,0.672680,2.962756,0.218910,4.144326,0.657608,0.014808,-0.000519
aces,prior_tour_tournament_bias_05,2032,2032,2.841150,0.672680,2.968132,0.209936,4.152613,0.658713,0.020184,0.000585
aces,prior_tour_surface_conf_bias_075,2032,2032,2.841150,0.672680,2.971614,0.258340,4.148237,0.657583,0.023666,-0.000544
aces,prior_tour_tournament_bias_075,2032,2032,2.841150,0.672680,2.979362,0.244878,4.160822,0.659139,0.031414,0.001012
aces,prior_tour_surface_conf_bias_10,2032,2032,2.841150,0.672680,2.981402,0.297770,4.153293,0.657697,0.033454,-0.000431
aces,prior_tour_tournament_bias_10,2032,2032,2.841150,0.672680,2.991074,0.279821,4.170273,0.659649,0.043126,0.001521
aces,blend_model_25,2032,2032,2.870827,0.675023,2.994709,0.186654,4.240150,0.667638,0.046761,0.009511
aces,naive,2032,2032,2.912412,0.762243,3.048790,0.202188,4.320734,0.770122,0.100842,0.111995
dfs,blend_model_75,2032,2032,1.951947,0.648843,2.028881,-0.081535,2.646167,0.663573,-0.003669,-0.001456
dfs,current,2032,2032,1.948676,0.647211,2.032551,-0.072325,2.653270,0.665029,0.000000,0.000000
dfs,prior_tour_surface_conf_bias_05,2032,2032,1.948676,0.647211,2.035181,-0.105779,2.660761,0.667506,0.002631,0.002477
dfs,conf_high_current_else_75,2032,2032,1.953412,0.649087,2.035378,-0.061416,2.654443,0.664708,0.002827,-0.000321
dfs,prior_tour_surface_conf_bias_075,2032,2032,1.948676,0.647211,2.038271,-0.122506,2.666510,0.669395,0.005720,0.004366
dfs,prior_tour_tournament_bias_05,2032,2032,1.948676,0.647211,2.041214,-0.108590,2.672588,0.669240,0.008663,0.004211
dfs,prior_tour_surface_conf_bias_10,2032,2032,1.948676,0.647211,2.042381,-0.139233,2.673582,0.671742,0.009831,0.006713
dfs,blend_model_50,2032,2032,1.974300,0.654860,2.046213,-0.090746,2.668164,0.666967,0.013662,0.001939
dfs,prior_tour_tournament_bias_075,2032,2032,1.948676,0.647211,2.047230,-0.126723,2.685069,0.671959,0.014679,0.006930
dfs,prior_tour_tournament_bias_10,2032,2032,1.948676,0.647211,2.054857,-0.144855,2.699397,0.675087,0.022307,0.010059
dfs,conf_high_current_else_50,2032,2032,1.973896,0.654427,2.056864,-0.050507,2.680002,0.668426,0.024313,0.003397
dfs,blend_model_25,2032,2032,2.012766,0.666430,2.080801,-0.099956,2.718554,0.676244,0.048250,0.011215
dfs,naive,2032,2032,2.063909,0.703980,2.129996,-0.109166,2.795803,0.723841,0.097445,0.058812
