Tennis Tie-Break Stage-0 Calibration Audit
Generated: 2026-06-17T19:15:21
Evaluation years: 2024, 2025, 2026
Outcome-only validation. No odds, no ROI, no CLV.
Model probabilities use serve/return strength plus past-only venue factors and past-only same-event bumps.
Naive benchmark = past tournament tie-break rate, falling back to tour-surface rate.

Overall
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
all                          19411  0.153/0.156/0.150        0.127/0.129        0.311/0.316/0.302        0.203/0.208

By tour
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
ATP                          9845  0.195/0.201/0.190        0.155/0.158        0.395/0.407/0.378        0.231/0.238
WTA                          9566  0.109/0.110/0.108        0.097/0.099        0.226/0.223/0.223        0.174/0.177

By surface
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
ATP Clay                     3356  0.160/0.157/0.154        0.134/0.135        0.343/0.346/0.333        0.222/0.228
ATP Grass                    1103  0.243/0.232/0.232        0.182/0.184        0.500/0.512/0.467        0.248/0.251
ATP Hard                     5386  0.208/0.221/0.205        0.163/0.166        0.405/0.423/0.388        0.233/0.241
WTA Clay                     2681  0.106/0.106/0.107        0.095/0.097        0.212/0.207/0.215        0.167/0.169
WTA Grass                    1142  0.134/0.124/0.126        0.116/0.118        0.274/0.252/0.251        0.200/0.202
WTA Hard                     5743  0.106/0.109/0.106        0.095/0.096        0.222/0.225/0.222        0.173/0.175

By year
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
2024                         7932  0.149/0.156/0.149        0.124/0.126        0.306/0.317/0.300        0.201/0.206
2025                         7411  0.157/0.157/0.152        0.130/0.132        0.315/0.318/0.305        0.205/0.210
2026                         4068  0.152/0.154/0.148        0.126/0.127        0.314/0.313/0.300        0.204/0.207

By confidence
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
HIGH                         5122  0.169/0.171/0.157        0.137/0.139        0.338/0.335/0.311        0.211/0.217
LOW                           537  0.138/0.145/0.129        0.115/0.134        0.255/0.286/0.249        0.186/0.214
MED                          13752  0.148/0.151/0.148        0.123/0.124        0.304/0.311/0.301        0.201/0.204

By tournament (n>=25)
Bucket                         N  1st actual/pred/naive  1st Brier m/n  Match actual/pred/naive  Match Brier m/n
ATP ABN AMRO Open             125  0.272/0.255/0.239        0.199/0.204        0.432/0.425/0.395        0.246/0.255
ATP ASB Classic               114  0.140/0.205/0.203        0.124/0.126        0.307/0.390/0.397        0.213/0.223
ATP Abierto Mexicano Telcel   121  0.215/0.184/0.163        0.170/0.171        0.347/0.348/0.306        0.225/0.228
ATP Adelaide International    112  0.134/0.184/0.095        0.121/0.119        0.357/0.392/0.278        0.226/0.238
ATP Almaty Open                75  0.267/0.221/0.225        0.192/0.218        0.453/0.405/0.400        0.245/0.270
ATP Argentina Open            112  0.170/0.164/0.177        0.140/0.142        0.321/0.314/0.314        0.214/0.220
ATP Atlanta Open               38  0.289/0.215/0.212        0.208/0.232        0.421/0.394/0.330        0.234/0.277
ATP Australian Open           690  0.209/0.201/0.197        0.166/0.165        0.465/0.500/0.447        0.240/0.249
ATP BCI Seguros Chile Open     37  0.216/0.163/0.217        0.174/0.197        0.270/0.321/0.265        0.199/0.230
ATP BMW Open                  123  0.228/0.199/0.220        0.177/0.178        0.382/0.371/0.379        0.238/0.238
ATP BNP Paribas Nordic Open    74  0.270/0.242/0.270        0.193/0.210        0.446/0.432/0.428        0.247/0.263
ATP BNP Paribas Open          383  0.178/0.195/0.188        0.143/0.147        0.329/0.338/0.326        0.213/0.221
ATP Barcelona Open Banc Saba  154  0.149/0.132/0.123        0.127/0.129        0.299/0.271/0.230        0.206/0.217
ATP Belgrade Open              39  0.205/0.231/0.251        0.171/0.182        0.385/0.407/0.344        0.246/0.261
ATP Brisbane International    117  0.248/0.238/0.209        0.183/0.190        0.487/0.473/0.466        0.238/0.254
