feature,gain,splits
incumbent_aces_diff,18751.202355861664,240
player_career4y_ace_rate_diff,9177.162648200989,204
player_height_diff,7112.536580324173,209
player_ace_rate_blend_diff,5150.057955026627,144
player_l12m_ace_rate_diff,5094.25904750824,71
opponent_l12m_aces_allowed_rate_diff,4183.342801809311,164
opponent_aces_allowed_blend_diff,4008.7036695480347,267
opponent_career4y_aces_allowed_rate_diff,3588.265543937683,210
player_rank_diff,2876.7210149765015,232
player_l12m_first_win_pct_diff,2430.806757926941,192
incumbent_aces_sum,2370.7170696258545,158
opponent_l24m_aces_allowed_rate_diff,2265.053099155426,156
player_activity_rank_log_change_365d_sum,2029.3694467544556,277
player_activity_lower_share_l365d_diff,1654.8299260139465,197
player_age_diff,1299.9762704372406,158
opponent_return_factor_sum,1242.3651640415192,139
player_l24m_ace_rate_diff,1169.7387783527374,126
player_activity_matches_l365d_all_sum,1137.2722127437592,155
player_ace_rate_blend_sum,1092.4357147216797,106
player_l12m_second_win_pct_sum,1083.1075160503387,146
opponent_l24m_aces_allowed_rate_sum,1012.816999912262,122
player_rank_sum,963.5621304512024,128
expected_service_points_sum,858.5609021186829,123
player_l12m_first_win_pct_sum,844.727650642395,122
player_activity_matches_l90d_all_sum,842.1730489730835,136
player_age_sum,834.2330198287964,114
player_activity_matches_l90d_all_diff,805.7367014884949,122
player_height_sum,802.1130032539368,101
opponent_career4y_aces_allowed_rate_sum,790.8265705108643,104
player_activity_lower_share_l365d_sum,775.3033201694489,102
player_activity_rank_log_change_90d_sum,724.6462898254395,100
expected_match_games,660.1186771392822,81
opponent_return_factor_diff,642.9967589378357,104
opponent_l12m_aces_allowed_rate_sum,595.0390796661377,63
player_activity_lower_matches_l365d_sum,575.2977392673492,78
player_activity_days_since_surface_match_diff,557.1230919361115,83
incumbent_aces_abs_diff,455.10367727279663,37
player_activity_days_since_surface_match_sum,454.1599922180176,56
surface_prior_ace_rate,450.04031801223755,55
player_svpt_per_svg_blend_sum,427.2979428768158,63
player_l12m_ace_rate_sum,414.93510913848877,57
venue_ace_factor,403.00215101242065,53
player_activity_days_since_match_all_diff,398.8029408454895,74
player_svpt_per_svg_blend_diff,392.5369598865509,59
player_activity_rank_log_change_365d_diff,366.1735692024231,50
opponent_aces_allowed_blend_sum,361.89140033721924,54
player_career4y_ace_rate_sum,354.1605076789856,38
player_l24m_ace_rate_sum,347.06539726257324,47
player_activity_lower_matches_l90d_sum,276.83083057403564,42
player_activity_days_since_match_all_sum,211.46396017074585,31
player_activity_lower_matches_l90d_diff,191.36980772018433,30
player_l12m_second_win_pct_diff,173.15334939956665,30
expected_service_points_diff,164.80321049690247,28
player_activity_rank_log_change_90d_diff,156.6095905303955,27
player_activity_lower_matches_l365d_diff,79.17466020584106,13
player_activity_matches_l365d_all_diff,61.09859895706177,12
best_of,0.0,0
surface,0.0,0
