date,tour,tournament,player,opponent,market,line,over_odds,under_odds
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,3.0,1.0100,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,5.0,1.0500,
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,10.0,1.4000,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,15.0,2.2500,1.1200
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,20.0,4.3300,1.4000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,25.0,10.0000,2.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,30.0,19.0000,3.2500
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,40.0,26.0000,10.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,aces,50.0,,26.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,1.0,1.0100,
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,2.0,1.0800,
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,3.0,1.2500,1.0200
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,5.0,2.2000,1.1400
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,8.0,8.0000,1.8300
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,10.0,21.0000,3.4000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,12.0,26.0000,6.5000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,15.0,,21.0000
2026-07-02,ATP,Wimbledon,Totals ( ),Lorenzo Sonego,double_faults,20.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,3.0,1.1200,1.0200
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,5.0,1.4400,1.1100
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,10.0,4.0000,1.8300
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,15.0,15.0000,4.3300
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,20.0,26.0000,13.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,aces,25.0,,26.0000
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,2.0,,1.0700
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,3.0,,1.2000
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,5.0,1.0300,
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,8.0,1.2200,1.0200
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,10.0,1.5300,1.0800
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,12.0,2.1000,1.2200
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,15.0,3.7500,1.6100
2026-07-02,WTA,Wimbledon,Totals ( ),Marie Bouzkova,double_faults,20.0,13.0000,3.4000
