date,tour,tournament,round,player,opponent,surface,projected_aces,projected_dfs,projected_breaks_for,projected_broken,projected_total_breaks,first_set_tiebreak_pct,match_tiebreak_pct,first_set_tiebreak_fair_yes,match_tiebreak_fair_yes,first_set_tiebreak_base_pct,match_tiebreak_base_pct,ace_confidence,df_confidence,break_confidence,tiebreak_confidence,service_points_estimate,service_games_estimate,expected_match_games,expected_match_games_source,expected_match_games_confidence,player_baseline_name,opponent_baseline_name,player_name_resolution,opponent_name_resolution,player_l12m_svpt_sample,player_l12m_matches,player_l24m_svpt_sample,player_l24m_matches,player_career4y_svpt_sample,player_career4y_matches,player_activity_l12m_matches,player_activity_l12m_svpt,player_activity_l12m_main_matches,player_activity_l12m_qual_chall_matches,player_activity_last_match_date,player_activity_days_since_last_match,player_surface_svpt_sample,player_surface_matches,player_slam_sample,same_tournament_matches,same_tournament_svpt,same_tournament_ace_weight,same_tournament_df_weight,same_tournament_breaks_for,same_tournament_broken,same_tournament_total_breaks,tournament_round_log,venue_ace_factor,venue_df_factor,venue_first_set_tiebreak_factor,venue_match_tiebreak_factor,player_tiebreak_factor,player_tiebreak_sample,player_match_tiebreak_actual_pct,opponent_match_tiebreak_actual_pct,venue_first_set_tiebreak_actual_pct,venue_match_tiebreak_actual_pct,venue_factor_source,venue_sample_flag,current_env_matches,current_env_svpt,current_env_weight,current_env_ace_factor,current_env_df_factor,current_env_break_factor,current_env_first_set_tiebreak_factor,current_env_match_tiebreak_factor,current_env_first_set_tiebreak_actual_pct,current_env_match_tiebreak_actual_pct,current_env_sample_flag,ace_rate_adj,df_rate_adj,break_rate_adj,broken_rate_adj,service_point_win,opponent_service_point_win,break_notes,tiebreak_notes,notes,source,incumbent_projected_aces,v3_ace_delta,aces_alpha,v3_eligible,v3_model
2026-07-30,ATP,Washington,R16,Brandon Nakashima,Jakub Mensik,Hard,7.237,1.087,1.957,1.989,3.946,30.7,57.3,3.26,1.74,26.2,52.6,MED,LOW,HIGH,HIGH,70.7,11.3,22.7,fair_odds,high,brandon nakashima,jakub mensik,exact,exact,2661,34,6221,83,10056,135,41,3130,41,0,2026-05-06,85,10056,135,0,1,52,0.055,0.035,3,1,4,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""6-3 6-4"",""opponent"":""Tomas Martin Etcheverry"",""aces"":""8"",""dfs"":""1"",""breaks_for"":""3"",""broken"":""1"",""total_breaks"":""4"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""52"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,1.1161,198,48.0,49.5,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.12788,0.01538,0.17245,0.15319,0.6598,0.6534,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,9.041,-1.804,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Jakub Mensik,Brandon Nakashima,Hard,11.931,3.844,1.989,1.957,3.946,30.7,57.3,3.26,1.74,26.2,52.6,MED,HIGH,HIGH,HIGH,72.9,11.3,22.7,fair_odds,high,jakub mensik,brandon nakashima,exact,exact,2613,32,6121,71,7529,87,38,3004,38,0,2026-05-17,74,7529,87,0,1,100,0.106,0.067,3,0,3,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""6-2 6-7(5) 6-3"",""opponent"":""Trevor Svajda"",""aces"":""11"",""dfs"":""8"",""breaks_for"":""3"",""broken"":""0"",""total_breaks"":""3"",""first_set_tiebreak"":""0"",""match_tiebreak"":""1"",""svpt"":""100"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,1.1161,198,49.5,48.0,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.15969,0.05271,0.17522,0.14191,0.6534,0.6598,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,11.645,+0.286,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Alex Michelsen,Adrian Mannarino,Hard,7.140,2.290,2.442,2.168,4.610,20.5,41.5,4.87,2.41,23.0,47.4,MED,HIGH,HIGH,HIGH,72.8,11.3,22.7,fair_odds,high,alex michelsen,adrian mannarino,exact,exact,2378,31,6404,83,8475,108,41,3027,40,1,2026-05-17,74,8475,108,0,1,69,0.073,0.046,4,2,6,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""6-4 7-5"",""opponent"":""Mackenzie Mcdonald"",""aces"":""9"",""dfs"":""2"",""breaks_for"":""4"",""broken"":""2"",""total_breaks"":""6"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""69"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.9915,216,39.3,39.7,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.08597,0.03144,0.21512,0.19105,0.6499,0.6327,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,6.261,+0.879,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Adrian Mannarino,Alex Michelsen,Hard,5.404,1.952,2.168,2.442,4.610,20.5,41.5,4.87,2.41,23.0,47.4,MED,MED,HIGH,HIGH,72.4,11.3,22.7,fair_odds,high,adrian mannarino,alex michelsen,exact,exact,2261,28,4339,54,10490,135,44,3291,34,10,2026-05-17,74,10490,135,0,1,54,0.057,0.036,2,0,2,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""7-5 6-4"",""opponent"":""Learner Tien"",""aces"":""5"",""dfs"":""1"",""breaks_for"":""2"",""broken"":""0"",""total_breaks"":""2"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""54"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.9915,216,39.7,39.3,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.07720,0.02698,0.19105,0.17357,0.6327,0.6499,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,5.586,-0.182,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Rafael Jodar,Kei Nishikori,Hard,4.676,1.389,2.422,2.360,4.782,14.8,31.3,6.74,3.19,21.1,44.3,MED,LOW,MED,MED,64.0,10.3,20.6,fair_odds,medium,rafael jodar,kei nishikori,exact,exact,1002,14,1002,14,1002,14,81,5052,32,49,2026-05-06,85,1002,14,0,1,73,0.078,0.049,3,1,4,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""7-6(5) 6-3"",""opponent"":""Arthur Fils"",""aces"":""4"",""dfs"":""3"",""breaks_for"":""3"",""broken"":""1"",""total_breaks"":""4"",""first_set_tiebreak"":""1"",""match_tiebreak"":""1"",""svpt"":""73"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.8962,52,32.0,35.2,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.06561,0.02169,0.23519,0.21699,0.6280,0.6296,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,4.201,+0.475,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Kei Nishikori,Rafael Jodar,Hard,3.701,1.675,2.360,2.422,4.782,14.8,31.3,6.74,3.19,21.1,44.3,MED,MED,MED,MED,64.8,10.3,20.6,fair_odds,medium,kei nishikori,rafael jodar,exact,exact,73,1,1783,23,2050,27,14,963,1,13,2026-04-20,101,2050,27,0,1,97,0.103,0.065,2,0,2,"[{""date"":""2026-07-27"",""round"":""Round 1"",""result"":""6-7(3) 6-3 6-4"",""opponent"":""Juncheng Shang"",""aces"":""4"",""dfs"":""0"",""breaks_for"":""2"",""broken"":""0"",""total_breaks"":""2"",""first_set_tiebreak"":""1"",""match_tiebreak"":""1"",""svpt"":""97"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.8962,52,35.2,32.0,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.04846,0.02586,0.22913,0.20129,0.6296,0.6280,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,3.139,+0.562,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Terence Atmane,Alejandro Tabilo,Hard,10.914,2.732,2.051,1.855,3.906,23.4,47.0,4.28,2.13,25.2,51.1,MED,MED,HIGH,MED,69.7,11.2,22.5,fair_odds,high,terence atmane,alejandro tabilo,exact,exact,1780,25,2099,29,2677,36,43,3065,34,9,2026-05-17,74,2677,36,0,1,87,0.092,0.058,3,2,5,"[{""date"":""2026-07-27"",""round"":""Round 1"",""result"":""4-6 6-3 6-4"",""opponent"":""Frances Tiafoe"",""aces"":""10"",""dfs"":""1"",""breaks_for"":""3"",""broken"":""2"",""total_breaks"":""5"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""87"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.9596,112,32.8,39.9,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.12375,0.03920,0.18235,0.17596,0.6478,0.6566,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,8.625,+2.289,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Alejandro Tabilo,Terence Atmane,Hard,6.591,2.054,1.855,2.051,3.906,23.4,47.0,4.28,2.13,25.2,51.1,MED,MED,HIGH,MED,71.7,11.2,22.5,fair_odds,high,alejandro tabilo,terence atmane,exact,exact,1624,22,3735,47,5538,70,71,5092,40,31,2026-05-12,79,5538,70,0,1,97,0.103,0.065,1,1,2,"[{""date"":""2026-07-27"",""round"":""Round 1"",""result"":""7-6(3) 4-6 6-4"",""opponent"":""Tallon Griekspoor"",""aces"":""14"",""dfs"":""3"",""breaks_for"":""1"",""broken"":""1"",""total_breaks"":""2"",""first_set_tiebreak"":""1"",""match_tiebreak"":""1"",""svpt"":""97"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,0.9596,112,39.9,32.8,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.11630,0.02866,0.16485,0.16013,0.6566,0.6478,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,8.333,-1.742,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Ugo Humbert,Ben Shelton,Hard,6.689,2.327,1.875,1.794,3.669,39.6,69.0,2.52,1.45,30.5,59.0,MED,HIGH,HIGH,HIGH,69.2,11.2,22.4,fair_odds,high,ugo humbert,ben shelton,exact,exact,2414,34,5255,71,10431,138,42,3051,42,0,2026-05-17,74,10431,138,0,1,59,0.063,0.039,4,1,5,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""6-2 7-5"",""opponent"":""Andres Martin"",""aces"":""3"",""dfs"":""5"",""breaks_for"":""4"",""broken"":""1"",""total_breaks"":""5"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""59"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,1.1136,242,42.6,51.5,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.11106,0.03363,0.16739,0.13789,0.6718,0.6777,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,7.684,-0.995,0.180034,true,all_tour_deployment_safe_atp_aces_v1
2026-07-30,ATP,Washington,R16,Ben Shelton,Ugo Humbert,Hard,9.018,2.437,1.794,1.875,3.669,39.6,69.0,2.52,1.45,30.5,59.0,MED,HIGH,HIGH,HIGH,69.6,11.2,22.4,fair_odds,high,ben shelton,ugo humbert,exact,exact,2498,31,7069,86,12181,144,42,3438,42,0,2026-05-17,74,12181,144,0,1,81,0.086,0.054,3,2,5,"[{""date"":""2026-07-28"",""round"":""Round 1"",""result"":""6-4 4-6 6-4"",""opponent"":""Martin Damm"",""aces"":""7"",""dfs"":""4"",""breaks_for"":""3"",""broken"":""2"",""total_breaks"":""5"",""first_set_tiebreak"":""0"",""match_tiebreak"":""0"",""svpt"":""81"",""draw_round"":""R32""}]",1.0000,1.0000,1.0000,1.0000,1.1136,242,51.5,42.6,21.4,40.5,surface_baseline,SURFACE_BASELINE,39,5217,0.100,0.9846,1.0282,0.9704,0.9501,0.9879,12.8,35.9,LIVE_OK,0.13287,0.03503,0.16021,0.14507,0.6777,0.6718,BREAK_RESEARCH_ONLY|TOTAL_GAMES_DEPENDENT|MATCH_LEVEL_TOTAL,TIEBREAK_RESEARCH_ONLY|SERVE_RETURN_DEPENDENT|MATCH_TB_RECURSION|PLAYER_TB_TENDENCY|TIEBREAK_PLATT_CALIBRATED,TOURNAMENT_DEBUT|SAME_TOURNAMENT_N1|EVENT_ENV_N39|SURFACE_BASELINE_ONLY|V3_ATP_ACES_PROSPECTIVE_SHADOW,oncourt_today_atp,9.246,-0.228,0.180034,true,all_tour_deployment_safe_atp_aces_v1
