forecast_id,registered_at_utc,date,tour,tournament,round,surface,player1,player2,player1_mean,player2_mean,rho,p_player1,p_draw,p_player2,fair_player1,fair_draw,fair_player2,quote_status,quote_reason,predicted_outcome,settlement_status,actual_player1_aces,actual_player2_aces,actual_outcome,prediction_correct,model_brier,model_logloss,player1_abs_error,player2_abs_error,settled_at_utc,settlement_source,settlement_note,model,notes
02c82cced4d79654da23e897bf6fbb4a9635bb5eefa44112cc64ba5d39aa1bc0,2026-07-29T14:13:11+00:00,2026-07-29,ATP,Los Cabos,R16,Hard,Edward Winter,Jenson Brooksby,4.166,4.035,0.2200,0.449585,0.131165,0.419250,2.224,7.624,2.385,,,P1,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
0d7f7ee4f99db7ef074cc0669f8c3f8efca85df5af076d295151428437acba77,2026-07-29T14:13:11+00:00,2026-07-29,ATP,Los Cabos,R16,Hard,Bernard Tomic,Karen Khachanov,3.681,6.351,0.2200,0.202698,0.093384,0.703918,4.933,10.708,1.421,,,P2,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
2301fcd7739ab01fe27f250d6ee03f9ecba0c2991ebfabeb80797e94608ceb3c,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Los Cabos,R32,Hard,Michael Zheng,Martin Landaluce,2.553,8.211,0.2200,0.057007,0.046448,0.896545,,,,BLOCKED_INPUT_QUALITY,P2_OPPONENT_DATA_MISSING,P2,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
28cea5f23adb66eee6894ba73a5d8de9ffa0da18828fe93c3928d2505cc9c507,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Los Cabos,R16,Hard,Edward Winter,Jenson Brooksby,4.166,4.035,0.2200,0.449585,0.131165,0.419250,,,,BLOCKED_INPUT_QUALITY,P1_NAME_UNRESOLVED|P1_RECENT_SAMPLE_0M_0SVPT|P2_OPPONENT_DATA_MISSING,P1,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
326dd702aa1d2efd29303a9b3e7cfd7bb7494b1ba990ba7b88a93ea9689855da,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Washington,R32,Hard,Alex De Minaur,Stefanos Tsitsipas,4.137,7.161,0.2200,0.199341,0.083618,0.717041,5.017,11.959,1.395,READY,,P2,settled,2,5,P2,yes,0.126795,0.332622,2.137,2.161,2026-07-29T21:17:52+00:00,sackmann,Miami Masters:6-3 7-6(3),v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
3418b7cab0a308e63213a8f26c5f8a45fc166fbe26d2dc930d8c40aff6de4ce3,2026-07-29T14:13:11+00:00,2026-07-29,ATP,Los Cabos,R32,Hard,Michael Zheng,Martin Landaluce,2.553,8.211,0.2200,0.057007,0.046448,0.896545,17.542,21.530,1.115,,,P2,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
3ea5388350694bd4c617204ca9dbd8cdb2d4b930d3e2833a6852066b888b57ec,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Los Cabos,R32,Hard,Denis Shapovalov,Rinky Hijikata,10.672,2.849,0.2200,0.937378,0.027344,0.035278,1.067,36.571,28.346,READY,,P1,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
5421e6936cd070eff89c8a3e3aecf2d9697774a4f09a14aea485cc187a80e016,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Washington,R16,Hard,Brandon Nakashima,Jakub Mensik,7.237,11.931,0.2200,0.207886,0.053955,0.738159,4.810,18.534,1.355,READY,,P2,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
593621848f88c8004f22aa980a3860309d9e75f8efafcc9e0d787013749329eb,2026-07-29T14:13:11+00:00,2026-07-29,ATP,Los Cabos,R16,Hard,Francisco Cerundolo,Tristan Boyer,4.330,4.313,0.2200,0.438660,0.126770,0.434570,2.280,7.888,2.301,,,P1,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
5e3c7f94f39b9abc730702c95cecaea8e179ad1473fb11587464a99589908963,2026-07-29T16:00:46+00:00,2026-07-29,ATP,Los Cabos,R32,Hard,Dalibor Svrcina,Adam Walton,2.597,7.167,0.2200,0.083130,0.062195,0.854675,12.029,16.079,1.170,READY,,P2,pending,,,,,,,,,,,result_not_found,v3_aces_gaussian_copula_nb2_input_guard_v2,OUTCOME_ONLY_NO_PRICE_NO_ROI_NO_CLV
