tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2025-2205,Noumea,Hard,32,C,O,20241230,16,TF58,,,Yusuke Takahashi,R,170,JPN,27203,530,71,ME82,1,,Adrian Mannarino,L,180,FRA,36504,70,810,6-3 6-0,3,R32,68,2,1,48,32,23,11,8,1,1,0,4,53,35,17,8,7,7,11
2025-2205,Noumea,Hard,32,C,O,20241230,17,F724,2,,Marton Fucsovics,R,188,HUN,32893,50,1009,CL84,,,Francisco Cabral,R,191,POR,27975,1472,2,6-2 6-3,3,R32,65,3,2,46,24,21,14,8,3,3,2,4,55,30,19,10,9,4,8
2025-2205,Noumea,Hard,32,C,O,20241230,18,I0B0,,,Andre Ilagan,L,173,USA,,346,142,D0C1,3,,Jesper de Jong,R,180,NED,24583,88,673,6-4 7-6(5),3,R32,98,4,0,76,57,42,11,11,5,6,10,3,61,32,25,17,11,0,2
2025-2205,Noumea,Hard,32,C,O,20241230,19,VA25,4,,Valentin Vacherot,R,193,MON,26122,27,1611,H0BA,,,Shinji Hazawa,R,175,JPN,,1079,11,6-3 6-4,3,R32,81,11,2,64,43,32,12,10,3,4,2,2,51,36,24,5,9,1,4
2025-2205,Noumea,Hard,32,C,O,20241230,20,B0EK,,,Moerani Bouzige,R,180,AUS,,464,95,M0K4,5,,Elmer Moller,R,183,DEN,21478,120,509,4-6 6-3 6-3,3,R32,123,2,4,88,61,39,13,14,5,9,6,7,103,63,39,17,14,10,16
2025-2205,Noumea,Hard,32,C,O,20241230,21,R09X,6,,Jurij Rodionov,L,191,AUT,25626,170,350,B0NU,,,Blake Bayldon,L,183,AUS,,1613,2,6-4 6-2,3,R32,68,7,2,51,33,27,11,9,1,1,3,2,57,33,22,9,9,2,5
2025-2205,Noumea,Hard,32,C,O,20241230,22,BO10,7,,Gijs Brouwer,L,191,NED,28797,176,326,TA46,,,Bernard Tomic,R,196,AUS,32192,194,313,6-4 6-1,3,R32,62,7,1,56,47,33,4,9,4,5,3,2,50,26,19,7,8,3,7
2025-2205,Noumea,Hard,32,C,O,20241230,23,LB66,8,,Constant Lestienne,R,180,FRA,32605,188,307,DC38,,,Jake Delaney,R,185,AUS,,469,93,6-3 6-3,3,R32,76,3,1,65,41,28,11,9,5,7,4,3,51,28,15,11,9,3,8
2025-2205,Noumea,Hard,32,C,O,20241230,24,C0LM,,,Charlie Camus,L,175,FRA,,1036,13,O09T,,,Kosuke Ogura,R,170,JPN,,736,35,6-2 6-1,3,R32,59,4,0,40,23,17,6,7,1,3,4,3,55,31,13,6,8,4,11
2025-2205,Noumea,Hard,32,C,O,20241230,25,CG94,,,Enzo Couacaud,R,183,FRA,29834,206,277,P0ED,,,Kiranpal Pannu,R,185,NZL,27978,491,80,4-6 6-4 6-1,3,R32,127,20,4,85,48,38,17,13,7,9,6,3,89,53,33,17,14,6,11
2025-2205,Noumea,Hard,32,C,O,20241230,26,H09N,,,August Holmgren,R,188,DEN,26691,199,303,H0LS,,,Courte Heremana,R,,FRA,,,,6-1 6-2,3,R32,69,5,0,39,27,23,9,8,0,0,2,4,68,44,26,6,7,13,17
2025-2205,Noumea,Hard,32,C,O,20241230,27,I0A6,,,Taisei Ichikawa,L,180,JPN,,718,37,B0M0,,,Liam Branger,R,,FRA,,1406,4,6-4 2-6 6-2,3,R32,110,1,1,74,40,28,19,13,1,4,9,9,80,44,32,15,13,4,8
2025-2205,Noumea,Hard,32,C,O,20241230,28,J620,,,Maxime Janvier,R,196,FRA,28.2,305,168,M0G0,,,Ryuki Matsuda,R,157,JPN,,545,68,6-3 6-3,3,R32,77,7,4,57,34,28,11,9,4,5,1,0,61,34,22,12,9,6,10
2025-2205,Noumea,Hard,32,C,O,20241230,29,M0HU,,,Shintaro Mochizuki,R,175,JPN,21.58,108,551,S0LD,,,Keisuke Saitoh,L,163,JPN,,583,59,6-4 6-4,3,R32,73,4,3,50,33,27,11,10,1,2,1,4,70,40,26,13,10,3,6
2025-2205,Noumea,Hard,32,C,O,20241230,30,PD31,,,Benoit Paire,R,196,FRA,35647,415,109,SQ79,,,Colin Sinclair,R,188,NMI,30031,688,42,6-7(4) 6-1 7-5,3,R32,117,17,3,115,59,48,28,16,4,5,9,0,88,56,40,15,15,5,9
2025-2205,Noumea,Hard,32,C,O,20241230,31,T0IA,,,Ryotaro Taguchi,R,173,JPN,,563,62,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,20674,104,580,6-3 6-4,3,R32,90,3,3,74,44,27,17,10,5,7,3,5,60,35,20,13,9,6,10
2025-2205,Noumea,Hard,32,C,O,20241230,8,F724,2,,Marton Fucsovics,R,188,HUN,32893,50,1009,J620,,,Maxime Janvier,R,196,FRA,28.2,305,168,6-4 3-6 6-3,3,R16,108,2,3,89,53,35,25,14,1,2,2,10,75,44,37,16,14,2,4
2025-2205,Noumea,Hard,32,C,O,20241230,9,VA25,4,,Valentin Vacherot,R,193,MON,26122,27,1611,T0IA,,,Ryotaro Taguchi,R,173,JPN,,563,62,6-1 6-2,3,R16,53,8,1,39,29,24,8,8,0,0,2,3,44,30,15,4,7,2,6
2025-2205,Noumea,Hard,32,C,O,20241230,10,R09X,6,,Jurij Rodionov,L,191,AUT,25626,170,350,PD31,,,Benoit Paire,R,196,FRA,35647,415,109,6-4 5-7 6-2,3,R16,115,7,3,94,62,48,14,15,3,5,8,9,101,54,42,19,15,7,11
2025-2205,Noumea,Hard,32,C,O,20241230,11,I0A6,,,Taisei Ichikawa,L,180,JPN,,718,37,BO10,7,,Gijs Brouwer,L,191,NED,28797,176,326,6-1 6-4,3,R16,67,0,2,59,31,22,15,8,6,7,4,2,55,42,24,3,9,5,10
2025-2205,Noumea,Hard,32,C,O,20241230,12,LB66,8,,Constant Lestienne,R,180,FRA,32605,188,307,H09N,,,August Holmgren,R,188,DEN,26691,199,303,5-7 6-2 7-6(1),3,R16,152,3,1,92,60,45,23,16,5,7,4,3,104,57,36,29,16,4,7
2025-2205,Noumea,Hard,32,C,O,20241230,13,B0EK,,,Moerani Bouzige,R,180,AUS,,464,95,C0LM,,,Charlie Camus,L,175,FRA,,1036,13,7-5 6-3,3,R16,101,7,3,70,38,29,16,11,3,5,5,7,75,44,27,12,10,5,9
2025-2205,Noumea,Hard,32,C,O,20241230,14,CG94,,,Enzo Couacaud,R,183,FRA,29834,206,277,TF58,,,Yusuke Takahashi,R,170,JPN,27203,530,71,6-3 6-4,3,R16,63,10,1,57,35,29,14,10,2,2,1,3,48,32,22,9,9,1,3
2025-2205,Noumea,Hard,32,C,O,20241230,15,M0HU,,,Shintaro Mochizuki,R,175,JPN,21.58,108,551,I0B0,,,Andre Ilagan,L,173,USA,,346,142,6-7(5) 6-4 6-2,3,R16,147,12,7,94,48,31,25,15,6,10,2,5,109,78,42,13,15,9,16
2025-2205,Noumea,Hard,32,C,O,20241230,4,B0EK,,,Moerani Bouzige,R,180,AUS,,464,95,F724,2,,Marton Fucsovics,R,188,HUN,32893,50,1009,6-3 6-3,3,QF,92,1,1,61,34,20,20,9,4,5,4,1,57,39,23,10,9,3,7
2025-2205,Noumea,Hard,32,C,O,20241230,5,LB66,8,,Constant Lestienne,R,180,FRA,32605,188,307,VA25,4,,Valentin Vacherot,R,193,MON,26122,27,1611,6-2 4-6 7-5,3,QF,153,3,3,104,68,40,16,15,8,14,4,6,101,64,39,10,15,12,20
2025-2205,Noumea,Hard,32,C,O,20241230,6,R09X,6,,Jurij Rodionov,L,191,AUT,25626,170,350,CG94,,,Enzo Couacaud,R,183,FRA,29834,206,277,4-6 6-4 6-2,3,QF,107,6,1,77,45,36,16,14,1,4,13,8,92,51,39,13,14,5,10
2025-2205,Noumea,Hard,32,C,O,20241230,7,M0HU,,,Shintaro Mochizuki,R,175,JPN,21.58,108,551,I0A6,,,Taisei Ichikawa,L,180,JPN,,718,37,6-3 6-3,3,QF,87,6,4,80,43,30,18,9,4,5,0,4,58,38,20,10,9,3,7
2025-2205,Noumea,Hard,32,C,O,20241230,2,M0HU,,,Shintaro Mochizuki,R,175,JPN,21.58,108,551,R09X,6,,Jurij Rodionov,L,191,AUT,25626,170,350,6-3 6-3,3,SF,76,3,1,54,38,29,7,9,2,3,2,3,67,45,25,9,9,1,5
