tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-495,Dubai,Hard,32,500,O,20260223,1,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.631,58,905,EA13,,,Moez Echargui,R,178,TUN,33.12,139,449,7-6(3) 6-7(3) 7-6(4),3,R32,155,29,2,112,85,66,17,18,3,4,16,2,111,65,52,30,18,1,2
2026-495,Dubai,Hard,32,500,O,20260223,2,W367,,,Stan Wawrinka,R,183,SUI,40.909,99,599,HG94,,,Benjamin Hassan,R,183,LBN,31.053,289,180,7-5 6-3,3,R32,71,9,2,61,32,28,19,11,3,3,5,2,59,41,29,8,10,1,3
2026-495,Dubai,Hard,32,500,O,20260223,3,AG37,1,,Felix Auger-Aliassime,R,193,CAN,25.544,8,4080,Z371,,,Zhizhen Zhang,R,193,CHN,29.355,263,205,6-3 7-6(4),3,R32,110,11,3,63,46,36,10,10,4,4,10,1,91,56,40,15,11,9,11
2026-8996,Santiago,Clay,28,250,O,20260223,1,H997,,,Yannick Hanfmann,R,193,GER,34.281,81,695,L987,,,Dusan Lajovic,R,183,SRB,35.652,116,541,6-0 6-3,3,R32,74,5,4,58,34,23,14,8,2,3,0,2,43,26,10,8,7,4,9
2026-495,Dubai,Hard,32,500,O,20260223,4,D0CO,4,,Jack Draper,L,193,GBR,24.172,15,2460,HB64,,,Quentin Halys,R,191,FRA,29.328,68,800,7-6(8) 6-3,3,R32,97,13,1,72,50,43,13,11,3,3,9,1,76,52,38,13,10,4,5
2026-8996,Santiago,Clay,28,250,O,20260223,2,PH64,,,Andrea Pellegrino,R,185,ITA,28.923,137,447,B0GY,,,Alex Barrena,R,175,ARG,23.373,183,336,6-2 2-6 6-1,3,R32,112,3,1,57,33,24,15,11,0,2,5,3,88,38,24,23,12,7,12
2026-807,Acapulco,Hard,32,500,O,20260224,1,J0DZ,,,Rafael Jodar,R,191,ESP,19.439,114,548,N771,7,,Cameron Norrie,L,188,GBR,30.508,26,1603,6-3 6-2,3,R32,55,5,0,44,31,25,11,9,0,0,2,1,40,33,20,3,8,2,5
2026-807,Acapulco,Hard,32,500,O,20260224,2,K0A3,,,Patrick Kypson,R,188,USA,26.327,103,565,DH58,2,,Alex de Minaur,R,183,AUS,27.019,6,4235,6-1 6-7(4) 7-6(4),3,R32,159,8,1,99,68,48,22,16,0,1,10,2,95,56,40,21,15,2,5
2026-807,Acapulco,Hard,32,500,O,20260224,3,DH50,4,,Alejandro Davidovich Fokina,R,180,ESP,26.724,14,2470,AE14,,,Daniel Altmaier,R,188,GER,27.452,53,961,7-5 6-3,3,R32,94,1,0,59,45,33,7,10,2,3,8,1,63,37,28,8,11,3,7
2026-807,Acapulco,Hard,32,500,O,20260224,4,VA25,6,,Valentin Vacherot,R,193,MON,27.274,27,1591,W0BH,,,Coleman Wong,R,191,HKG,21.719,125,515,4-6 6-3 6-2,3,R32,117,13,1,81,54,42,13,14,0,1,7,2,86,56,35,19,13,7,10
2026-807,Acapulco,Hard,32,500,O,20260224,5,KI95,,,Miomir Kecmanovic,R,183,SRB,26.486,84,685,S0N0,,,Tristan Schoolkate,R,183,AUS,24.994,108,556,6-2 6-2,3,R32,63,7,2,49,34,29,7,8,4,4,4,3,52,35,21,5,8,2,6
2026-807,Acapulco,Hard,32,500,O,20260224,6,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.491,75,746,W09E,,,Adam Walton,R,183,AUS,26.858,87,669,7-6(1) 7-6(3),3,R32,118,15,3,83,51,39,19,12,5,6,6,1,86,57,40,15,12,6,7
2026-807,Acapulco,Hard,32,500,O,20260224,7,N0AE,,,Brandon Nakashima,R,188,USA,24.561,29,1535,Y218,,,Elias Ymer,R,185,SWE,29.875,190,328,6-3 6-4,3,R32,79,5,1,57,36,29,13,10,1,1,7,0,52,38,26,9,9,3,5
2026-8996,Santiago,Clay,28,250,O,20260224,3,P0HW,,,Dino Prizmic,R,188,CRO,20.556,120,529,J551,,,Nicolas Jarry,R,201,CHI,30.374,155,391,6-3 5-7 6-2,3,R32,157,7,4,86,47,33,23,15,1,4,4,3,89,61,37,14,14,8,13
2026-8996,Santiago,Clay,28,250,O,20260224,4,C0DF,7,,Francisco Comesana,R,178,ARG,25.385,82,694,MO44,,,Pedro Martinez,R,185,ESP,28.832,101,586,6-4 2-6 7-6(4),3,R32,171,12,7,87,57,39,14,15,0,4,1,4,99,60,43,19,15,5,8
2026-495,Dubai,Hard,32,500,O,20260224,5,B0CD,,,Jenson Brooksby,R,193,USA,25.331,49,1042,BU13,,,Zizou Bergs,R,185,BEL,26.73,46,1080,6-3 6-4,3,R32,94,3,3,63,34,29,15,10,1,1,4,4,58,30,22,14,9,3,5
2026-495,Dubai,Hard,32,500,O,20260224,6,MM58,3,,Daniil Medvedev,R,198,RUS,30.037,11,2960,S0RE,,,Juncheng Shang,L,180,CHN,21.06,262,205,6-1 6-3,3,R32,66,10,3,49,36,29,6,8,3,3,0,0,48,33,17,7,8,1,5
2026-495,Dubai,Hard,32,500,O,20260224,7,CD85,,,Pablo Carreno Busta,R,188,ESP,34.623,124,516,SU55,,,Denis Shapovalov,L,185,CAN,26.864,36,1350,6-2 6-4,3,R32,77,0,2,65,45,28,12,9,7,9,8,4,54,29,18,9,9,4,9
2026-495,Dubai,Hard,32,500,O,20260224,8,BK92,2,,Alexander Bublik,R,196,KAZ,28.69,10,3405,SL28,,,Jan-Lennard Struff,R,193,GER,35.836,80,706,6-3 6-4,3,R32,65,12,2,52,35,29,10,9,3,3,9,2,58,44,30,6,10,0,3
2026-495,Dubai,Hard,32,500,O,20260224,9,KE29,7,,Karen Khachanov,R,198,RUS,29.763,16,2450,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.238,92,656,6-7(5) 6-2 6-3,3,R32,132,4,3,97,63,49,21,15,5,5,12,3,88,50,35,23,14,4,7
2026-495,Dubai,Hard,32,500,O,20260224,10,L0BV,8,,Jiri Lehecka,R,185,CZE,24.296,24,1760,N0BG,,,Luca Nardi,R,185,ITA,22.554,109,554,4-6 6-4 6-2,3,R32,122,5,2,84,51,38,19,14,4,5,4,0,86,60,39,16,14,10,13
2026-495,Dubai,Hard,32,500,O,20260224,11,GJ37,,,Tallon Griekspoor,R,188,NED,29.648,25,1655,V0AM,,,Otto Virtanen,R,193,FIN,24.679,131,475,6-3 6-4,3,R32,74,6,2,59,35,28,16,10,0,0,10,0,50,28,21,9,9,0,2
2026-495,Dubai,Hard,32,500,O,20260224,12,HH26,,,Ugo Humbert,L,188,FRA,27.666,37,1285,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.537,30,1535,6-4 7-5,3,R32,85,7,1,64,48,37,11,11,3,3,6,2,56,36,31,9,11,3,5
